Designator,Mid X,Mid Y,Rotation,Layer
C1,35.55,-47.57,180.0,top
C10,40.33,-43.12,90.0,top
C11,43.07,-45.9,90.0,top
C12,42.17,-57.32,270.0,top
C13,36.645,-28.09,180.0,top
C14,36.85,-33.42,180.0,top
C15,41.16,-59.24,270.0,top
C16,35.91,-59.4,90.0,top
C17,41.13,-57.32,270.0,top
C2,45.509411,-46.180589,45.0,top
C3,41.46,-43.12,90.0,top
C4,45.4,-47.68,0.0,top
C5,46.2,-52.12,0.0,top
C6,35.06,-52.31,180.0,top
C7,44.01,-46.29,90.0,top
C8,42.44,-42.46,90.0,top
C9,39.465,-35.045,180.0,top
D1,39.725,-63.95,90.0,top
J1,40.34,-22.09,180.0,top
J2,31.61,-45.5,0.0,top
J3,49.39,-45.5,0.0,top
J4,40.5,-69.39,90.0,top
R1,41.61,-28.36,270.0,top
R2,38.7,-28.36,270.0,top
R3,40.99,-45.65,270.0,top
R4,42.09,-45.65,270.0,top
R5,39.49,-57.0,0.0,top
R6,37.145,-35.005,180.0,top
R7,45.47,-37.11,180.0,top
SW1,45.4,-33.81,270.0,top
U1,40.34,-51.09,90.0,top
U3,38.6,-38.46,0.0,top
U4,36.87,-30.76,270.0,top
Y1,38.5,-59.3,0.0,top
